"Gene","log2FoldChange","pvalue","padj"
"GENE_83",-0.0741796758566304,0.310063347695799,0.83454608539345
"GENE_94",-0.0592911207298596,0.311546952428022,0.83454608539345
"GENE_96",0.0810562529432539,0.323168001564209,0.83454608539345
"GENE_27",-0.104085632634178,0.328700259111184,0.83454608539345
"GENE_53",-0.0399418170286703,0.333798867836729,0.83454608539345
"GENE_38",-0.0986689297333821,0.335688718076119,0.83454608539345
"GENE_36",-0.120624794326294,0.336339217875269,0.83454608539345
"GENE_85",0.0645233031402531,0.345174591938817,0.83454608539345
"GENE_84",0.0852395474817927,0.346263962544975,0.83454608539345
"GENE_13",0.117266052169749,0.349917583289348,0.83454608539345
"GENE_71",-0.0525928552757639,0.356467968638788,0.83454608539345
"GENE_92",0.0545152485429942,0.360153034170593,0.83454608539345
"GENE_97",0.0522256611937979,0.366797982160068,0.83454608539345
"GENE_26",0.0565835283663675,0.36749924545183,0.83454608539345
"GENE_8",0.0922915831535453,0.375545738427053,0.83454608539345
"GENE_12",0.0391294163677416,0.417165558337088,0.888900366267925
"GENE_82",0.12577789775793,0.425346587367341,0.888900366267925
"GENE_32",-0.0792405090759242,0.438024346588189,0.888900366267925
"GENE_51",-0.0391383939069582,0.446016331800683,0.888900366267925
"GENE_21",0.110893591512224,0.448986982103666,0.888900366267925
"GENE_20",0.0662578445299632,0.453339186796642,0.888900366267925
"GENE_64",0.0557162635125443,0.480001740407812,0.891386515533878
"GENE_41",-0.0947404899704098,0.486452000219968,0.891386515533878
"GENE_43",-0.0864993673624176,0.530659600620503,0.891386515533878
"GENE_3",0.0392283964049372,0.537918506546662,0.891386515533878
"GENE_76",-0.063899991474807,0.546639524735836,0.891386515533878
"GENE_48",-0.035361942891478,0.54801203242094,0.891386515533878
"GENE_58",0.0389329473226808,0.552158927984774,0.891386515533878
"GENE_17",-0.069778145911959,0.556430712959386,0.891386515533878
"GENE_29",-0.0341588614811979,0.568106771284915,0.891386515533878
"GENE_95",0.0327396549094996,0.574498989402074,0.891386515533878
"GENE_6",-0.0491394021763812,0.591252679108693,0.891386515533878
"GENE_2",0.0709149956111467,0.592292053612852,0.891386515533878
"GENE_39",-0.0418201756946271,0.600744241298459,0.891386515533878
"GENE_30",0.0448447503291294,0.604962475422084,0.891386515533878
"GENE_40",-0.0400532495204392,0.60799736736065,0.891386515533878
"GENE_68",-0.0545141590789035,0.612433076679357,0.891386515533878
"GENE_89",-0.0193889851081907,0.618258432974453,0.891386515533878
"GENE_61",0.0440480248285726,0.623437907054728,0.891386515533878
"GENE_65",0.0353552764479623,0.625799855477681,0.891386515533878
"GENE_35",0.0707345115372339,0.636913358490924,0.891386515533878
"GENE_37",-0.0588209157154669,0.641798291184392,0.891386515533878
"GENE_57",-0.046369963138034,0.651266447651757,0.892145818701037
"GENE_60",-0.0235178067061367,0.687721251566293,0.927449904680904
"GENE_44",-0.0505648809913683,0.703528428875777,0.927449904680904
"GENE_15",-0.0334031582672138,0.716001298146763,0.927449904680904
"GENE_49",0.0271471113157735,0.717718247653145,0.927449904680904
"GENE_98",-0.0292201389149935,0.725087103566141,0.927449904680904
"GENE_99",-0.0137969974784674,0.732685424697914,0.927449904680904
"GENE_87",-0.0312244087352477,0.763311622061955,0.932088594179529
"GENE_24",0.0181473467102595,0.771980720082207,0.932088594179529
"GENE_45",-0.024740375165049,0.784580560659592,0.932088594179529
"GENE_66",0.0234132863515525,0.788633976374696,0.932088594179529
"GENE_81",0.027753599450182,0.793843771464662,0.932088594179529
"GENE_47",-0.0234872634582789,0.794186332769542,0.932088594179529
"GENE_77",0.0370715866042609,0.809100143132128,0.932088594179529
"GENE_63",0.031708859727338,0.81091707693619,0.932088594179529
"GENE_28",0.0164980466417427,0.865329617780559,0.96137292962322
"GENE_23",-0.0079390327935617,0.866562782587902,0.96137292962322
"GENE_79",-0.0170205052557301,0.874224688282532,0.96137292962322
"GENE_78",0.0109157774791836,0.87484936595713,0.96137292962322
"GENE_73",0.0136663008746715,0.893686881634756,0.971398784385604
"GENE_50",-0.00853163362111692,0.905338949537712,0.9734827414384
"GENE_75",0.0108883161427362,0.919886083214317,0.975648512475732
"GENE_19",0.00434940046305079,0.926866086851945,0.975648512475732
"GENE_90",-0.00456116421937264,0.945728010604652,0.985133344379845
"GENE_56",0.00807229670072222,0.95797704879012,0.987605204938268
"GENE_74",-0.00177344219121935,0.978460736566495,0.994377916147163
"GENE_72",0.00180224263398538,0.984434136985691,0.994377916147163
"GENE_67",0,1,1
